# data_kind=vectorized_published_figure_reference
# manuscript_figure=Fig. 11
# source_sha256=389f612b8b8a059bcc62c061f53a12b9168cec34c52785bc5bafcbb7e2e8e8a4
# y_axis_calibration=[1.3,2.3]
# displayed_time_grid=0.1,0.2,...,100.1; the manuscript does not document its conversion to Floquet layers
displayed_time,theta_0.30_pi,theta_0.35_pi,theta_0.40_pi,theta_0.45_pi,theta_0.50_pi
60.8,1.370819544311,1.445091744530,1.498322204944,1.531111708658,1.543170716243
60.9,1.371695378200,1.445916911705,1.499103943243,1.531864490049,1.543909021960
61.0,1.373012747951,1.447241519293,1.500435790522,1.533196339181,1.545240871092
61.1,1.374474885564,1.448754323619,1.501984785887,1.534774287748,1.546818819658
61.2,1.376349605837,1.450679712460,1.503939127928,1.536757581138,1.548802113049
61.3,1.377934794094,1.452257662879,1.505531554022,1.538350007232,1.550409016670
61.4,1.377782790248,1.452112895018,1.505401265541,1.538248671953,1.550322155212
61.5,1.376407512241,1.450795525266,1.504141800340,1.537047113155,1.549149551469
61.6,1.374952614318,1.449441962623,1.502882335139,1.535845554358,1.547998661238
61.7,1.373982681135,1.448551653061,1.502057169817,1.535078295439,1.547253117684
61.8,1.373519429907,1.448117355035,1.501651824993,1.534687426289,1.546862250387
61.9,1.373085131882,1.447755439087,1.501333337922,1.534412371800,1.546616145393
62.0,1.372419208242,1.447176375053,1.500841135346,1.533978073774,1.546210802422
62.1,1.371738807076,1.446553880290,1.500247593784,1.533420725104,1.545660691590
62.2,1.371644711486,1.446394638607,1.500044921372,1.533181859801,1.545400112774
62.3,1.372115200551,1.446756554555,1.500319977715,1.533384534066,1.545573830132
62.4,1.372549496723,1.447118468649,1.500609509732,1.533616159679,1.545769264706
62.5,1.373012747951,1.447538291001,1.501000378881,1.533978073774,1.546109465290
62.6,1.373591811985,1.448088401833,1.501514296822,1.534484755730,1.546608907556
62.7,1.373808961924,1.448262121043,1.501651824993,1.534593330700,1.546717482526
62.8,1.373751055521,1.448175259585,1.501536012187,1.534455800676,1.546558240843
62.9,1.373881345855,1.448348980649,1.501753160273,1.534687426289,1.546789866456
63.0,1.373852392653,1.448377933850,1.501825544204,1.534788763422,1.546905679263
63.1,1.373027227331,1.447494862125,1.500899041749,1.533818832091,1.545921268552
63.2,1.371825668534,1.446199204032,1.499523763741,1.532400125207,1.544488085994
63.3,1.371152505204,1.445460898315,1.498742027295,1.531596673397,1.543691873874
63.4,1.371043930235,1.445323370144,1.498582785612,1.531444667698,1.543547107865
63.5,1.371347939779,1.445576711122,1.498799935552,1.531632864436,1.543728064913
63.6,1.372122438388,1.446307779002,1.499502050230,1.532313265602,1.544401226389
63.7,1.373338472860,1.447567244202,1.500790466779,1.533630635354,1.545718597993
63.8,1.374402501633,1.448754323619,1.502071645492,1.534976960160,1.547093876001
63.9,1.374532793820,1.449014904288,1.502433561439,1.535396782511,1.547528172174
64.0,1.373309519658,1.447885729421,1.501369530813,1.534368942924,1.546507572277
64.1,1.370841259676,1.445526044409,1.499089465716,1.532146784229,1.544307128947
64.2,1.367902508776,1.442703106315,1.496382342282,1.529519280711,1.541723056158
64.3,1.365369102700,1.440256559845,1.494008179742,1.527210264265,1.539450230750
64.4,1.363313427232,1.438244313252,1.492039362026,1.525292113262,1.537553795112
64.5,1.362046724194,1.436999325579,1.490830565392,1.524105031992,1.536395667043
64.6,1.362104630597,1.437093423021,1.490953616036,1.524249798000,1.536554910579
64.7,1.363646389978,1.438620704875,1.492473660052,1.525755364489,1.538060477068
64.8,1.365810640416,1.440676382196,1.494435239931,1.527651800127,1.539913481977
64.9,1.367265538338,1.442022705149,1.495658510387,1.528780973141,1.540999226115
